Conference,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
MWC,Isaiah Marin,FR,G,New Mexico,19,296,40,30,10,1,25,44,72,0.342,0.3,0.372,0.545,3.8,2.1,1.6,0.5,0.1,6.9,0.3,-7.4
MWC,Bayron Matos,FR,F,New Mexico,20,377,81,6,4,11,21,36,120,0.526,0.526,,0.392,6,4.1,0.3,0.2,0.6,13.8,0.7,-4.7
MWC,Cheikh Mbacke Diong,SR,F,Nevada-Las Vegas,27,760,199,20,33,27,37,68,240,0.607,0.61,0,0.556,8.9,7.4,0.7,1.2,1,20.7,3,1.6
MWC,Liam McChesney,FR,F,Utah State,3,10,3,0,1,0,0,0,2,0.25,1,0,,0.7,1,0,0.3,0,10.3,0,3.4
MWC,Glen McClintock,FR,G,Air Force,20,596,65,36,18,0,35,38,107,0.402,0.462,0.354,0.741,5.4,3.3,1.8,0.9,0,7.8,0.1,-5.2
MWC,Keith McGee,SR,G,New Mexico,8,120,17,5,2,1,9,8,47,0.429,0.538,0.379,,5.9,2.1,0.6,0.3,0.1,13,0.2,3.4
MWC,Braxton Meah,FR,C,Fresno State,23,218,52,2,4,11,8,34,64,0.65,0.65,,0.414,2.8,2.3,0.1,0.2,0.5,18,0.8,-1.5
MWC,Eloy Medina,FR,G,New Mexico,5,15,1,0,1,0,0,0,6,0.286,,0.286,,1.2,0.2,0,0.2,0,12.1,0,8.8
MWC,Zane Meeks,SO,F,Nevada,18,402,106,12,7,4,29,40,162,0.47,0.563,0.358,0.767,9,5.9,0.7,0.4,0.2,16.7,1.3,1.5
MWC,Sebastian Mendoza,FR,G,San Jose State,21,434,54,16,14,7,38,46,148,0.352,0.314,0.387,0.531,7,2.6,0.8,0.7,0.3,7.5,-0.4,-5.7
MWC,Nathan Mensah,JR,F,San Diego State,28,600,170,16,16,39,32,75,227,0.579,0.591,0,0.6,8.1,6.1,0.6,0.6,1.4,22.1,3.1,5.1
MWC,Brock Miller,JR,G,Utah State,27,761,48,25,14,0,20,41,238,0.384,0.433,0.365,0.714,8.8,1.8,0.9,0.5,0,9.8,2.3,1.5
MWC,Kane Milling,SO,G,Nevada,26,581,55,26,12,3,24,36,124,0.385,0.404,0.368,0.676,4.8,2.1,1,0.5,0.1,7.5,0.8,0
MWC,Lukas Milner,JR,C,Boise State,22,171,25,2,4,7,3,32,56,0.706,0.706,,0.615,2.5,1.1,0.1,0.2,0.3,16.8,0.8,2.5
MWC,Matt Mitchell,SR,F,San Diego State,25,746,139,49,36,6,57,58,386,0.436,0.489,0.337,0.809,15.4,5.6,2,1.4,0.2,22.4,3.9,7.4
MWC,Kendle Moore,JR,G,Colorado State,27,800,78,41,37,2,52,67,284,0.453,0.613,0.358,0.913,10.5,2.9,1.5,1.4,0.1,13.8,2.5,1.7
MWC,Omari Moore,SO,G,San Jose State,21,623,111,68,32,20,49,45,156,0.455,0.514,0.25,0.45,7.4,5.3,3.2,1.5,1,13.2,0.4,-2.5
MWC,James Moors,FR,F,Colorado State,28,537,99,31,14,19,42,51,166,0.504,0.571,0.1,0.545,5.9,3.5,1.1,0.5,0.7,12.9,1.3,0.6
MWC,Logan Morrissey,,G,Air Force,2,6,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,-9.4
MWC,Carter Murphy,SO,G,Air Force,8,172,16,9,6,2,10,21,33,0.357,0.556,0.263,1,4.1,2,1.1,0.8,0.3,7,0,-6.6
MWC,Eoin Nelson,SO,F,Wyoming,8,79,25,0,2,0,6,13,25,0.579,0.579,,0.5,3.1,3.1,0,0.3,0,14.1,0.2,-7.4
MWC,Joseph Octave,FR,G,Air Force,16,157,26,9,4,1,14,14,52,0.5,0.667,0.214,0.611,3.3,1.6,0.6,0.3,0.1,12.7,0.1,-4.8
MWC,Jeremiah Oden,FR,F,Wyoming,23,315,63,10,8,8,12,48,91,0.393,0.473,0.241,0.857,4,2.7,0.4,0.3,0.3,11.4,0.6,-4.2
MWC,Michael Ofoegbu,FR,F,San Jose State,6,61,9,2,1,0,3,12,20,0.429,0.429,,0.533,3.3,1.5,0.3,0.2,0,7.8,0,-9
MWC,Logan Padgett,SO,F,New Mexico,8,61,11,4,2,1,4,7,23,0.474,0.556,0.4,0.5,2.9,1.4,0.5,0.3,0.1,16.8,0.2,-3.6
MWC,Clay Patterson,JR,G,New Mexico,9,38,3,4,1,0,1,5,4,0.125,0,0.143,0.5,0.4,0.3,0.4,0.1,0,0.1,0,-8.8
MWC,Solomon Pierre-Louis,SO,G,Air Force,3,6,2,0,0,0,0,0,0,0,,0,,0,0.7,0,0,0,2.9,0,-8.5
MWC,Kasean Pryor,,G,Boise State,5,16,5,0,0,0,1,3,6,0.167,0.5,0,0.444,1.2,1,0,0,0,-1.2,0,-27.8
MWC,Trey Pulliam,SR,G,San Diego State,28,730,85,99,39,0,42,55,203,0.411,0.453,0.271,0.667,7.3,3,3.5,1.4,0,13.6,2.3,2.5
MWC,Neemias Queta,JR,C,Utah State,29,871,294,77,31,97,69,69,433,0.559,0.562,0,0.707,14.9,10.1,2.7,1.1,3.3,30.5,5.8,12.2
MWC,Nick Rene,JR,G,Air Force,2,3,1,0,0,0,0,0,0,0,0,,,0,0.5,0,0,0,-10.7,0,-23.6
MWC,Max Rice,SO,G,Boise State,26,459,64,27,12,0,15,33,154,0.457,0.582,0.361,0.857,5.9,2.5,1,0.5,0,14.8,1.7,2
MWC,Isaiah Rivera,FR,G,Colorado State,28,262,34,14,6,1,17,23,73,0.474,0.533,0.407,0.5,2.6,1.2,0.5,0.2,0,9.7,0.6,-0.1
MWC,Orlando Robinson,SO,F,Fresno State,24,765,220,50,22,19,75,57,350,0.443,0.466,0.333,0.721,14.6,9.2,2.1,0.9,0.8,21.2,2.7,2.6
MWC,Robby Robinson,JR,F,Nevada,24,304,81,8,8,3,15,44,25,0.294,0.303,0,0.556,1,3.4,0.3,0.3,0.1,4.3,0.3,-2.6
MWC,David Roddy,SO,G,Colorado State,28,882,264,73,24,20,65,52,446,0.512,0.584,0.278,0.789,15.9,9.4,2.6,0.9,0.7,25.5,5,6.8
MWC,Jordan Schakel,SR,G,San Diego State,28,818,123,27,28,4,21,55,402,0.473,0.495,0.461,0.908,14.4,4.4,1,1,0.1,23.5,5,9.8
MWC,Adam Seiko,JR,G,San Diego State,27,539,54,37,15,0,19,39,113,0.347,0.438,0.329,0.783,4.2,2,1.4,0.6,0,9.2,1.5,2.2
MWC,Marcus Shaver,SR,G,Boise State,25,695,113,37,30,5,39,65,265,0.431,0.454,0.398,0.817,10.6,4.5,1.5,1.2,0.2,16.2,2.7,3.4
MWC,Grant Sherfield,SO,G,Nevada,26,901,97,158,42,0,73,39,483,0.433,0.471,0.367,0.855,18.6,3.7,6.1,1.6,0,23.8,4.3,6.2
MWC,Max Shulga,FR,G,Utah State,23,157,42,8,9,0,16,13,37,0.342,0.389,0.3,0.833,1.6,1.8,0.3,0.4,0,8.9,0.3,-1.7
MWC,Caleb Simmons,SR,G,San Jose State,18,317,60,15,8,1,15,33,61,0.321,0.412,0.282,0.824,3.4,3.3,0.8,0.4,0.1,7.9,0.1,-5.6
MWC,Saquan Singleton,JR,G,New Mexico,22,566,99,75,20,15,51,51,177,0.415,0.438,0.167,0.514,8,4.5,3.4,0.9,0.7,14,0.9,-1.4
MWC,Burke Smith,,F,Boise State,4,13,2,0,0,0,1,1,5,1,1,,0.5,1.3,0.5,0,0,0,14.8,0,-1.9
MWC,Naje Smith,JR,F,Boise State,17,113,28,5,4,2,4,15,16,0.4,0.5,0.2,0.5,0.9,1.6,0.3,0.2,0.1,9.9,0.3,1.9
