Conference,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
MWC,Jonah Antonio,JR,G,Nevada-Las Vegas,25,549,61,20,14,4,11,32,172,0.312,0.278,0.315,0.429,6.9,2.4,0.8,0.6,0.2,10.3,1.1,1.1
MWC,Aguek Arop,SO,F,San Diego State,22,221,50,8,8,5,13,23,69,0.5,0.552,0,0.625,3.1,2.3,0.4,0.4,0.2,16.6,0.8,3.1
MWC,Jordan Arroyo,SO,F,New Mexico,14,105,17,1,1,4,3,10,14,0.417,0.455,0,0.667,1,1.2,0.1,0.1,0.3,7.1,0.1,-4.4
MWC,Sean Bairstow,FR,G,Utah State,32,374,49,33,5,1,34,33,89,0.446,0.5,0.333,0.714,2.8,1.5,1,0.2,0,7.1,0.6,-2.8
MWC,A.J. Banks,SR,G,Wyoming,33,779,90,57,22,10,52,64,159,0.491,0.532,0.394,0.706,4.8,2.7,1.7,0.7,0.3,9.4,1.1,-2.3
MWC,Simon Banks,,G,Air Force,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
MWC,Gabe Bansuelo,FR,G,Nevada,9,15,0,0,0,0,1,1,0,0,,0,,0,0,0,0,0,-11.1,-0.1,-13
MWC,Jared Barnett,FR,G,San Diego State,10,16,0,2,1,0,2,5,3,0.167,0.2,0,0.5,0.3,0,0.2,0.1,0,-10.6,-0.1,-12.9
MWC,Justin Bean,SO,F,Utah State,34,1011,356,72,51,24,51,71,405,0.518,0.544,0.276,0.806,11.9,10.5,2.1,1.5,0.7,26.1,6.2,8.5
MWC,Chase Berry,JR,G,Boise State,4,14,5,2,0,0,0,0,6,0.6,0.75,0,0,1.5,1.3,0.5,0,0,30.2,0.1,6.7
MWC,Noah Blackwell,SR,G,Fresno State,20,642,59,67,16,2,28,25,198,0.409,0.476,0.385,0.793,9.9,3,3.4,0.8,0.1,15.5,1.9,2.3
MWC,Nick Blair,SR,F,Nevada-Las Vegas,32,618,120,20,17,17,31,84,136,0.596,0.69,0.222,0.619,4.3,3.8,0.6,0.5,0.5,12.9,1.6,1.5
MWC,Carlton Bragg,SR,F,New Mexico,15,403,155,10,17,23,24,41,189,0.537,0.543,0.429,0.818,12.6,10.3,0.7,1.1,1.5,27.1,2.1,5.3
MWC,Diogo Brito,SR,G,Utah State,34,956,153,95,48,9,58,60,289,0.392,0.517,0.284,0.797,8.5,4.5,2.8,1.4,0.3,14.7,3.4,4.4
MWC,LeSean Brown,SR,G,Air Force,27,205,17,17,2,1,11,23,24,0.364,0.353,0.4,0.667,0.9,0.6,0.6,0.1,0,3.2,0,-6
MWC,P.J. Byrd,SO,G,Colorado State,8,68,9,10,3,0,5,12,24,0.438,0.333,0.571,0.857,3,1.1,1.3,0.4,0,17.3,0.3,-2.1
MWC,JJ Caldwell,JR,G,New Mexico,13,407,51,74,29,2,27,18,76,0.473,0.522,0.222,0.759,5.8,3.9,5.7,2.2,0.2,15.7,1.1,4.6
MWC,Jordan Campbell,FR,G,Fresno State,8,115,15,5,1,1,12,15,33,0.304,0.371,0.091,0.667,4.1,1.9,0.6,0.1,0.1,-0.9,-0.3,-11.4
MWC,Nico Carvacho,SR,C,Colorado State,32,934,345,58,26,18,85,87,412,0.562,0.562,,0.49,12.9,10.8,1.8,0.8,0.6,21.6,3.3,2.1
MWC,Zach Chappell,SO,G,San Jose State,31,608,48,62,27,2,53,47,190,0.349,0.363,0.328,0.725,6.1,1.5,2,0.9,0.1,9.3,0.1,-5.2
MWC,Marvin Coleman,SO,G,Nevada-Las Vegas,28,752,133,65,37,2,50,76,192,0.412,0.5,0.324,0.807,6.9,4.8,2.3,1.3,0.1,13.6,2,2
MWC,Cheickna Dembele,JR,F,Nevada-Las Vegas,16,99,15,2,0,1,2,14,1,0,0,,0.5,0.1,0.9,0.1,0,0.1,1.1,0,-3.6
MWC,Rayj Dennis,FR,G,Boise State,32,557,56,57,13,2,30,36,132,0.359,0.55,0.26,0.8,4.1,1.8,1.8,0.4,0.1,9.7,1.2,0.2
MWC,Harminder Dhaliwal,FR,F,San Jose State,2,12,3,0,0,0,1,3,5,0.25,0.25,,0.75,2.5,1.5,0,0,0,8.2,0,1.2
MWC,Marcus Dickinson,SR,G,Boise State,32,704,61,26,20,0,23,42,116,0.361,0.452,0.318,0.833,3.6,1.9,0.8,0.6,0,6.8,1.3,0.5
MWC,Assane Diouf,SO,C,Fresno State,19,130,27,1,0,6,12,23,22,0.435,0.455,0,0.222,1.2,1.4,0.1,0,0.3,1.7,-0.1,-9.6
MWC,Trevin Dorius,FR,F,Utah State,25,215,64,5,4,9,13,33,68,0.519,0.519,,0.387,2.7,2.6,0.2,0.2,0.4,14.8,0.7,-2.5
MWC,Lindsey Drew,SR,G,Nevada,31,957,204,124,44,21,76,84,353,0.491,0.558,0.398,0.742,11.4,6.6,4,1.4,0.7,19.5,3.6,5.9
MWC,Hyron Edwards,SR,G,Colorado State,32,569,56,67,35,0,37,38,128,0.435,0.476,0.323,0.783,4,1.8,2.1,1.1,0,11.7,1.1,1.3
MWC,KJ Feagin,SR,G,San Diego State,32,971,104,95,19,9,54,57,290,0.384,0.384,0.384,0.833,9.1,3.3,3,0.6,0.3,12.3,3.1,2.9
MWC,Malachi Flynn,JR,G,San Diego State,32,1070,143,162,56,3,57,56,564,0.441,0.507,0.373,0.857,17.6,4.5,5.1,1.8,0.1,27.7,7.4,11.7
